Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án chính xác
Tại sao trời lại mưa?,Vì có mây đen.,Do hiện tượng nhiệt động học.,Vì cục nước bay trên bầu trời.,Do nước biển bốc hơi.,Do hiện tượng nhiệt động học.
Tại sao cây cỏ xanh tươi?,Vì có nước tưới.,Do quá trình quang hợp.,Vì có đất màu mỡ.,Do môi trường xung quanh.,Do quá trình quang hợp.
Tại sao nước biển mặn?,Vì có các loại muối hòa tan.,Do tác động của mặt trời.,Vì có rác thải từ tàu biển.,Do tác động của cạn gió.,Vì có các loại muối hòa tan.
Tại sao lá cây có màu xanh lá?,Bởi vì lá cây chứa nhiều chất xanh lá cây.,Do tác động của ánh nắng mặt trời.,Vì lá cây chứa nhiều sắt.,Bởi vì lá cây luôn tươi xanh.,Bởi vì lá cây chứa nhiều chất xanh lá cây.
Tại sao người ta cười?,Vì người ta thấy vui.,Do áp lực xã hội.,Vì người ta buồn.,Vì người ta thấy mệt mỏi.,Vì người ta thấy vui.
Tại sao biển mặn hơn biển nước ngọt?,Vì có nhiều cá sống trong biển mặn.,Vì nước mưa chảy xuống biển mang theo muối.,Vì nhiệt độ biển mặn cao hơn biển nước ngọt.,Vì nhiều người tắm biển mặn hơn.,Vì nước mưa chảy xuống biển mang theo muối.
Tại sao bầu trời có màu xanh?,Vì sự phản xạ của ánh sáng mặt trời.,Vì sự phản xạ của biển.,Vì có nhiều ngôi sao ở trên bầu trời.,Vì có nhiều đám mây trên bầu trời.,Vì sự phản xạ của ánh sáng mặt trời.
Tại sao hoa nở vào mùa xuân?,Vì có nhiều mưa vào mùa xuân.,Do nhiệt độ cao hơn trong mùa xuân.,Vì có nhiều ánh nắng mặt trời vào mùa này.,Vì gió xuân thổi mạnh.,Do nhiệt độ cao hơn trong mùa xuân.
Tại sao người ta cần ngủ?,Để nghỉ ngơi cơ thể và tâm hồn.,Để kiểm soát cân nặng.,Để tránh cảm lạnh.,Để tăng năng suất lao động.,Để nghỉ ngơi cơ thể và tâm hồn.
Tại sao mặt trăng có các giai đoạn khác nhau?,Do mặt trăng quay quanh Trái Đất.,Tại vì mặt trăng có nhiều vết thù địch.,Do mặt trăng luôn tự quay.,Tại vì mặt trăng bị tạo ra bởi con người.,Do mặt trăng quay quanh Trái Đất.
Tại sao nhiệt độ trái đất thay đổi theo mùa?,Do Trái Đất quay quanh Mặt Trời.,Tại vì Mặt Trời luôn nóng.,Do tia tử ngoại từ Mặt Trời.,Tại vì Trái Đất tự quay một vòng trong một ngày.,Do Trái Đất quay quanh Mặt Trời.
Tại sao chim có thể bay?,Vì chim có cánh.,Do các chất khí trong không khí.,Vì chim có cánh và đầu nhọn.,Tại vì chim có chân.,Vì chim có cánh.
Tại sao lá cây rụng vào mùa thu?,Do sự thay đổi ánh sáng và nhiệt độ.,Tại vì lá cây mệt mỏi.,Do gió thổi mạnh vào mùa thu.,Tại vì cây cần cắt tỉa.,Do sự thay đổi ánh sáng và nhiệt độ.
Tại sao biển có sóng?,Vì gió thổi trên biển.,Tại vì sóng làm cho biển đẹp hơn.,Do sự thay đổi nhiệt độ của nước biển.,Tại vì có nhiều cá trong biển.,Vì gió thổi trên biển.
Tại sao nước đá lạnh?,Do nước đá đã được làm lạnh trước khi dùng.,Tại vì nước đá có nhiều muối.,Vì nước đá chứa nhiều khí carbonic.,Tại vì nước đá có hàm lượng nước thấp.,Do nước đá đã được làm lạnh trước khi dùng.
Tại sao mặt trời sáng?,Vì mặt trời phát ra ánh sáng tự nhiên.,Do bầu không khí trong không gian.,Vì mặt trời cháy lửa.,Tại vì có nhiều sao trên bầu trời.,Vì mặt trời phát ra ánh sáng tự nhiên.
Tại sao nước đá tan khi để ở ngoài trời?,Do nhiệt độ cao.,Tại vì nước đá có chất tạo nên tan chảy.,Do tác động của ánh nắng mặt trời.,Vì nước đá mỏng.,Do nhiệt độ cao.
Tại sao hoa hướng dương luôn quay về phía mặt trời?,Vì hoa hướng dương thích ánh nắng mặt trời.,Do tác động của gió.,Tại vì hoa hướng dương quay trái đất.,Vì hoa hướng dương có gốc dài.,Vì hoa hướng dương thích ánh nắng mặt trời.
Tại sao trái đất tròn?,Do sự hấp dẫn của Mặt Trời.,Tại vì Trái Đất là một quả cầu.,Do sự quay của Trái Đất.,Vì Trái Đất nằm giữa hai vùng không gian.,Tại vì Trái Đất là một quả cầu.
Tại sao cỏ có màu xanh?,Do sự kết hợp của nước và chất xanh lá cây.,Vì nước là màu xanh.,Do sự tia nắng mặt trời.,Vì cỏ chứa nhiều chất màu xanh.,Do sự kết hợp của nước và chất xanh lá cây.
Tại sao nước biển có màu xanh?,Vì sự tia nắng mặt trời.,Do sự kết hợp của màu biển và màu bầu trời.,Vì có nhiều tảng san hô ở dưới biển.,Vì có nhiều cá trong biển.,Vì sự tia nắng mặt trời.
Tại sao biển có màu xanh da trời?,Vì sự phản xạ của ánh sáng mặt trời.,Tại vì biển chứa nhiều thuốc nhuộm.,Do nước biển có nhiều vi sinh vật.,Vì sự tác động của sóng biển.,Vì sự phản xạ của ánh sáng mặt trời.
Tại sao tuyết mùa đông có màu trắng?,Vì tuyết làm cho ánh sáng phản xạ trắng.,Do sự tác động của mưa tuyết.,Vì tuyết chứa nhiều muối.,Vì tuyết là loại băng khô.,Vì tuyết làm cho ánh sáng phản xạ trắng.
Tại sao ngôi sao biến mất khi ban ngày?,Do sự tác động của mặt trời.,Vì ngôi sao luôn di chuyển.,Do sự thay đổi của Trái Đất.,Vì ngôi sao ngủ vào ban ngày.,Do sự tác động của mặt trời.
